,en,t,r,chi,fit_a,fit_c,fit_hw,fit_gw,fit_lw,fit_pv,fit_skew
70,31000,600,-700.0,35,0.7128336253889765,0.0001025262143098,0.0001914095207543,1.0011827569345605e-05,1.8097751438094247e-05,0.9650983728138428,125.80963472267666
71,25000,500,400.0,30,0.6333977104641297,-0.0001040931207149,0.0001897582968409,1.222628716411484e-05,2.0666581301862645e-05,0.9592999097934678,-2.9478137670457074
72,35000,500,-5000.0,30,0.8041831063266288,1.0491693722006846e-05,1.0885326434793144e-05,7.6563627501967e-06,9.910234642120986e-06,0.8939828787321837,17.234420052372382
73,25000,600,-400.0,-35,0.5656010568707984,-0.0001249441763755,0.0002322895798892,1.2849775527779907e-05,2.402381518407102e-05,0.969995540876762,-3.0878629198578813
74,35000,600,300.0,-30,0.4668409000028649,0.0001284110543575,0.0002433899523808,8.995253643225726e-06,1.6962722861312743e-05,0.9691869730752144,13.862708620256605
75,25000,500,1000.0,35,0.6902535781654621,-6.34072880206896e-05,0.0001083893656464,1.213137853856447e-05,2.077893327337342e-05,0.957099958864204,253.8340098528938
76,35000,600,-2000.0,-40,0.8295777764356047,-3.781080156892871e-05,6.37981155647303e-05,8.690679400328842e-06,1.5599283362641945e-05,0.96061379730092,-72.8989208803752
77,25000,600,-6000.0,30,0.5374557473675284,1.0482902479285671e-05,8.723967157192852e-06,9.96463021847424e-06,1.1516122595945497e-05,0.8227475338836634,15.355795157339324
78,35000,400,1500.0,-40,0.8491569799101074,3.41780206529764e-05,5.534834109109125e-05,8.671354130103555e-06,1.570731495433887e-05,0.960512672177712,-73.46097517025456
79,35000,400,4000.0,-40,0.8301053921457323,1.3019903826812968e-05,1.4431048290550052e-05,7.88407958950228e-06,1.0990296269868356e-05,0.9149342604265532,-304.0655573950701
80,35000,500,-700.0,-35,0.7101315454737939,-8.122711342111088e-05,0.000150091384343,8.95331657826482e-06,1.813381750030748e-05,0.970346363526946,-49.03210740699483
81,25000,600,-6000.0,-30,0.5258282733199102,-9.5690120816776e-06,7.252207825023819e-06,9.758271520654192e-06,1.0825539813597895e-05,0.7970476152784493,-15.283782993339036
82,30000,400,3000.0,-35,0.7809195209743576,1.544741951654007e-05,1.7452011295750314e-05,9.213939886490617e-06,1.342497716383842e-05,0.9186988367715648,-17.07963574673452
83,29000,400,6000.0,40,0.6992271913182816,-9.884811070813046e-06,7.3321318694874335e-06,8.63805559054882e-06,9.932922163571718e-06,0.8347160123113285,16.522400776707876
84,25000,600,300.0,-40,0.4937360468667496,0.0001045415490851,0.0001911390640658,1.249014332533275e-05,3.0497222980861604e-11,0.9544603332755776,-14.429184299174269
85,35000,600,400.0,-30,0.557628877157471,0.0001084126907095,0.0002034312417085,8.939237988778265e-06,1.3836906144540747e-05,0.9586601939099244,3.1681476751100925
86,30000,600,-700.0,-40,0.6903869310771363,-0.0001176481962717,0.0002206287719303,1.0661608762536555e-05,1.675190926485762e-05,0.9618092064364387,-3.346865862217668
