,en,t,r,chi,fit_a,fit_c,fit_hw,fit_gw,fit_skew
61,30000,1000,70000,-30,0.0118502246493812,1.4709479090325896e-05,1.926958629918917e-05,1.0439594346809949e-05,-8141.793599450938
62,30000,1000,80000,-30,0.0107345263192237,1.2956034629577112e-05,1.5712136598199794e-05,1.0779973334682377e-05,-9256.205112547515
63,30000,1000,90000,-30,0.0098136663740127,1.1604427337604824e-05,1.2884103855835613e-05,1.1156438996443656e-05,-10380.198856815456
64,30000,1000,100000,-30,0.0090437753183751,1.0536974918497012e-05,1.0554213049717915e-05,1.1566154007509156e-05,-11527.449277092895
65,25000,200,20000,-30,0.1646063005043438,1.0472884796179324e-05,5.828751959424011e-06,1.2725847420922193e-05,-5256.122124869567
66,35000,200,2000,-30,0.6464168993013658,0.0001005778152022,0.0001875892463145,9.3849775350703e-06,-124.16069928425478
67,35000,200,3000,-30,0.6396886377755189,6.71285808046007e-05,0.0001208814176453,9.309954143872247e-06,-185.6828425039268
68,35000,200,4000,-30,0.6303608225676547,5.0403216903082455e-05,8.759722143363417e-05,9.24682314133951e-06,-246.8060563450969
69,35000,200,5000,-30,0.6215197373694646,4.036785842645429e-05,6.767668887453385e-05,9.19186416045088e-06,-307.56683081324746
70,35000,200,6000,-30,0.6132614465127669,3.3677633564673465e-05,5.443442725366607e-05,9.142995521584244e-06,-368.00131783319455
71,35000,200,7000,-30,0.6054919562707747,2.889896668177251e-05,4.500618171650438e-05,9.098802276543064e-06,-428.1511346774038
72,35000,200,8000,-30,0.5981315950544881,2.5315050020387244e-05,3.796013273405482e-05,9.05843380315484e-06,-488.063440908831
73,35000,200,9000,-30,0.5911201848613752,2.252764847257252e-05,3.250113901955293e-05,9.02125233514255e-06,-547.7855964912081
74,35000,200,10000,-30,0.5844114068824001,2.029782051966559e-05,2.8152311154763536e-05,8.986775230656899e-06,-607.380769318465
75,35000,200,15000,-30,0.5543493080815375,1.3609494691116314e-05,1.5275122783898224e-05,8.845315525874062e-06,-906.0246333094176
76,35000,200,20000,-30,0.5284811579229028,1.0267360800016196e-05,9.02364289546814e-06,8.743353503929617e-06,-1216.3637493554168
77,35000,200,25000,-30,0.5056971436004126,8.264805242460753e-06,5.391621993225992e-06,8.67652098625093e-06,-1564.878331022488
78,35000,200,30000,-30,0.4856130117803145,6.934232006554917e-06,3.030872510559295e-06,8.648546733043127e-06,-2013.963801734048
79,35000,200,35000,-30,0.4683661790517904,5.9934409597884345e-06,1.3384152417976131e-06,8.671516707310784e-06,-2752.170871776546
80,35000,200,40000,-30,0.4539917381886882,5.407029013564536e-06,8.310673405575947e-14,8.761545619270174e-06,-7918.702718010661
81,35000,200,50000,-30,0.4032744814934135,4.516204831780048e-06,1.5861966976475676e-13,8.146568146562289e-06,-13940.59903470257
82,35000,200,60000,-30,0.3645024371864623,3.948016355181344e-06,3.381749611406985e-13,7.865345859194045e-06,-19593.521240287475
83,35000,200,70000,-30,0.3341429240505169,3.558795801956716e-06,1.1112520187952261e-13,7.772896018703008e-06,-24236.35653920382
84,35000,200,80000,-30,0.3127306816356544,3.269250689758119e-06,2.2783588346953153e-13,7.743918830951071e-06,-27815.63927445382
85,35000,200,90000,-30,0.294665759062795,3.051047176944822e-06,8.934506574460312e-14,7.831356522634598e-06,-30157.642192831365
86,35000,200,100000,-30,0.2835666211751498,2.871211936769574e-06,8.086188074656315e-14,7.749579913138919e-06,-32830.223312906215
87,35000,200,-1000,-30,0.608963870180504,0.0002009112920447,0.000388024602952,9.479908405958086e-06,-62.19588119312344
88,25000,200,-1000,-30,0.3001707612388929,0.0001987796401747,0.0003788712694875,1.293672406179892e-05,-254.3821171991628
89,30000,1000,-1000,-30,0.0400921348512058,0.0009979262984225,0.0019802734061701,1.0790771315625936e-05,-117.9768151413656
90,30000,1000,-2000,-30,0.0395803605295916,0.0004993934498507,0.0009837315394465,1.057634545688352e-05,-237.86986880005463
91,30000,1000,-3000,-30,0.0380797252485705,0.0003330955032072,0.0006515489239436,1.0414623043505386e-05,-357.9896560026568
92,30000,1000,-4000,-30,0.036720041193803,0.0002499246535329,0.0004855530573013,1.0285051648027784e-05,-478.28636924500574
93,30000,1000,-5000,-30,0.0354924112625417,0.0002000155998417,0.0003860333928345,1.017802493319368e-05,-598.7149220354277
94,30000,1000,-6000,-30,0.0343701290111015,0.0001667404466074,0.0003197464264262,1.0087563490703415e-05,-719.2356098669479
95,30000,1000,-7000,-30,0.0333346772701909,0.0001429714907442,0.0002724439208126,1.0010272686807156e-05,-839.8158839126006
96,30000,1000,-8000,-30,0.0323727511541987,0.0001251443843619,0.0002370024399776,9.94362287967698e-06,-960.42682374036
97,30000,1000,-9000,-30,0.0314743170902974,0.0001112787414998,0.0002094649634524,9.88583473905705e-06,-1081.0427117430463
98,30000,1000,-10000,-30,0.0306315240051565,0.0001001862467305,0.000187457890327,9.835417916143774e-06,-1201.6405615496212
99,30000,1000,-15000,-30,0.0270655745312787,6.691029816570046e-05,0.0001216193771795,9.6648141376568e-06,-1803.71038771067
100,30000,1000,-20000,-30,0.0242740086325418,5.027530481047002e-05,8.8866204078042e-05,9.584273206646224e-06,-2402.954152856504
101,30000,1000,-25000,-30,0.0220086278126856,4.029720215642642e-05,6.930176477135489e-05,9.560549860686642e-06,-2998.1429898310444
102,30000,1000,-30000,-30,0.0201256971181063,3.364781876144129e-05,5.630698812211607e-05,9.576577178166377e-06,-3588.527970927029
103,30000,1000,-35000,-30,0.0185329704843435,2.8900798315508583e-05,4.705114338040637e-05,9.622476586114156e-06,-4173.71422914174
104,30000,1000,-40000,-30,0.0171672653010569,2.534298879239077e-05,4.012197929451204e-05,9.692027720437194e-06,-4753.587739196054
105,30000,1000,-50000,-30,0.0149474388445957,2.036884496043112e-05,3.0426796197536453e-05,9.886589792108223e-06,-5898.086482579859
106,30000,1000,-60000,-30,0.0132234933174768,1.706183735254436e-05,2.3942284555696377e-05,1.0139554165264367e-05,-7025.404189110071
107,30000,1000,-70000,-30,0.0118502246493812,1.4709479090325896e-05,1.926958629918917e-05,1.0439594346809949e-05,-8141.793599450938
108,30000,1000,-80000,-30,0.0107345263192237,1.2956034629577112e-05,1.5712136598199794e-05,1.0779973334682377e-05,-9256.205112547515
109,30000,1000,-90000,-30,0.0098136663740127,1.1604427337604824e-05,1.2884103855835613e-05,1.1156438996443656e-05,-10380.198856815456
110,30000,1000,-100000,-30,0.0090437753183751,1.0536974918497012e-05,1.0554213049717915e-05,1.1566154007509156e-05,-11527.449277092895
111,25000,200,-20000,-30,0.1646063005043438,1.0472884796179324e-05,5.828751959424011e-06,1.2725847420922193e-05,-5256.122124869567
112,35000,200,-2000,-30,0.6464168993013658,0.0001005778152022,0.0001875892463145,9.3849775350703e-06,-124.16069928425478
113,35000,200,-3000,-30,0.6396886377755189,6.71285808046007e-05,0.0001208814176453,9.309954143872247e-06,-185.6828425039268
114,35000,200,-4000,-30,0.6303608225676547,5.0403216903082455e-05,8.759722143363417e-05,9.24682314133951e-06,-246.8060563450969
115,35000,200,-5000,-30,0.6215197373694646,4.036785842645429e-05,6.767668887453385e-05,9.19186416045088e-06,-307.56683081324746
116,35000,200,-6000,-30,0.6132614465127669,3.3677633564673465e-05,5.443442725366607e-05,9.142995521584244e-06,-368.00131783319455
117,35000,200,-7000,-30,0.6054919562707747,2.889896668177251e-05,4.500618171650438e-05,9.098802276543064e-06,-428.1511346774038
118,35000,200,-8000,-30,0.5981315950544881,2.5315050020387244e-05,3.796013273405482e-05,9.05843380315484e-06,-488.063440908831
119,35000,200,-9000,-30,0.5911201848613752,2.252764847257252e-05,3.250113901955293e-05,9.02125233514255e-06,-547.7855964912081
120,35000,200,-10000,-30,0.5844114068824001,2.029782051966559e-05,2.8152311154763536e-05,8.986775230656899e-06,-607.380769318465
121,35000,200,-15000,-30,0.5543493080815375,1.3609494691116314e-05,1.5275122783898224e-05,8.845315525874062e-06,-906.0246333094176
122,35000,200,-20000,-30,0.5284811579229028,1.0267360800016196e-05,9.02364289546814e-06,8.743353503929617e-06,-1216.3637493554168
123,35000,200,-25000,-30,0.5056971436004126,8.264805242460753e-06,5.391621993225992e-06,8.67652098625093e-06,-1564.878331022488
124,35000,200,-30000,-30,0.4856130117803145,6.934232006554917e-06,3.030872510559295e-06,8.648546733043127e-06,-2013.963801734048
125,35000,200,-35000,-30,0.4683661790517904,5.9934409597884345e-06,1.3384152417976131e-06,8.671516707310784e-06,-2752.170871776546
126,35000,200,-40000,-30,0.4539917381886882,5.407029013564536e-06,8.310673405575947e-14,8.761545619270174e-06,-7918.702718010661
127,35000,200,-50000,-30,0.4032744814934135,4.516204831780048e-06,1.5861966976475676e-13,8.146568146562289e-06,-13940.59903470257
128,35000,200,-60000,-30,0.3645024371864623,3.948016355181344e-06,3.381749611406985e-13,7.865345859194045e-06,-19593.521240287475
129,35000,200,-70000,-30,0.3341429240505169,3.558795801956716e-06,1.1112520187952261e-13,7.772896018703008e-06,-24236.35653920382
130,35000,200,-80000,-30,0.3127306816356544,3.269250689758119e-06,2.2783588346953153e-13,7.743918830951071e-06,-27815.63927445382
131,35000,200,-90000,-30,0.294665759062795,3.051047176944822e-06,8.934506574460312e-14,7.831356522634598e-06,-30157.642192831365
132,35000,200,-100000,-30,0.2835666211751498,2.871211936769574e-06,8.086188074656315e-14,7.749579913138919e-06,-32830.223312906215
