"Energy (eV)"	"Flux (ph/s/0.1%B.W.)"
3.64082e+4	8.01404e+14
3.65415e+4	7.96480e+14
3.66748e+4	7.91578e+14
3.68082e+4	7.86698e+14
3.69415e+4	7.81841e+14
3.70748e+4	7.77006e+14
3.72081e+4	7.72193e+14
3.73415e+4	7.67402e+14
3.74748e+4	7.62634e+14
3.76081e+4	7.57887e+14
3.77414e+4	7.53163e+14
3.78748e+4	7.48462e+14
3.80081e+4	7.43783e+14
3.81414e+4	7.39126e+14
3.82748e+4	7.34491e+14
3.84081e+4	7.29878e+14
3.85414e+4	7.25288e+14
3.86747e+4	7.20720e+14
3.88081e+4	7.16175e+14
3.89414e+4	7.11651e+14
3.90747e+4	7.07150e+14
3.92080e+4	7.02671e+14
3.93414e+4	6.98215e+14
3.94747e+4	6.93780e+14
3.96080e+4	6.89368e+14
3.97413e+4	6.84978e+14
3.98747e+4	6.80610e+14
4.00080e+4	6.76264e+14
4.01413e+4	6.71940e+14
4.02747e+4	6.67638e+14
4.04080e+4	6.63358e+14
4.05413e+4	6.59100e+14
4.06746e+4	6.54864e+14
4.08080e+4	6.50650e+14
4.09413e+4	6.46458e+14
4.10746e+4	6.42288e+14
4.12079e+4	6.38140e+14
4.13413e+4	6.34013e+14
4.14746e+4	6.29908e+14
4.16079e+4	6.25825e+14
4.17412e+4	6.21763e+14
4.18746e+4	6.17723e+14
4.20079e+4	6.13705e+14
4.21412e+4	6.09708e+14
4.22746e+4	6.05732e+14
4.24079e+4	6.01778e+14
4.25412e+4	5.97845e+14
4.26745e+4	5.93934e+14
4.28079e+4	5.90043e+14
4.29412e+4	5.86174e+14
4.30745e+4	5.82326e+14
4.32078e+4	5.78500e+14
4.33412e+4	5.74694e+14
4.34745e+4	5.70909e+14
4.36078e+4	5.67145e+14
4.37411e+4	5.63402e+14
4.38745e+4	5.59680e+14
4.40078e+4	5.55978e+14
4.41411e+4	5.52297e+14
4.42745e+4	5.48637e+14
4.44078e+4	5.44998e+14
4.45411e+4	5.41378e+14
4.46744e+4	5.37780e+14
4.48078e+4	5.34201e+14
4.49411e+4	5.30643e+14
4.50744e+4	5.27105e+14
4.52077e+4	5.23588e+14
4.53411e+4	5.20090e+14
4.54744e+4	5.16612e+14
4.56077e+4	5.13155e+14
4.57410e+4	5.09717e+14
4.58744e+4	5.06299e+14
4.60077e+4	5.02901e+14
4.61410e+4	4.99522e+14
4.62744e+4	4.96163e+14
4.64077e+4	4.92824e+14
4.65410e+4	4.89504e+14
4.66743e+4	4.86204e+14
4.68077e+4	4.82923e+14
4.69410e+4	4.79661e+14
4.70743e+4	4.76418e+14
4.72076e+4	4.73194e+14
4.73410e+4	4.69990e+14
4.74743e+4	4.66804e+14
4.76076e+4	4.63637e+14
4.77409e+4	4.60490e+14
4.78743e+4	4.57360e+14
4.80076e+4	4.54250e+14
4.81409e+4	4.51158e+14
4.82743e+4	4.48084e+14
